date,time,open,high,low,close,volumn
20200806,1800,12849,12855,12841,12851,624
20200806,1900,12851,12851,12815,12821,1133
20200806,2000,12821,12838,12809,12818,1335
20200806,2100,12817,12852,12810,12842,1525
20200806,2200,12842,12846,12805,12834,2481
20200806,2300,12833,12845,12796,12819,2456
20200807,0000,12819,12825,12809,12818,1146
20200807,0100,12819,12847,12818,12847,928
20200807,0200,12846,12851,12830,12840,543
20200807,0300,12840,12873,12834,12868,1411
20200807,0400,12868,12879,12860,12870,1046
20200807,0500,12870,12874,12861,12865,475
20200807,0945,12866,12866,12779,12789,19427
20200807,1045,12788,12817,12706,12721,17003
20200807,1145,12720,12759,12707,12724,8590
20200807,1245,12724,12757,12721,12749,5345
20200807,1345,12749,12765,12728,12763,7079
20200807,1600,12759,12776,12743,12768,1985
20200807,1700,12768,12786,12761,12770,1526
20200807,1800,12770,12770,12746,12762,962
20200807,1900,12762,12775,12754,12774,627
20200807,2000,12774,12778,12767,12771,414
20200807,2100,12771,12794,12765,12780,1411
20200807,2200,12781,12787,12748,12768,2268
20200807,2300,12768,12786,12760,12777,1750
20200808,0000,12777,12782,12761,12762,972
20200808,0100,12761,12776,12758,12759,895
20200808,0200,12759,12760,12736,12744,1303
20200808,0300,12745,12753,12724,12740,986
20200808,0400,12740,12774,12738,12769,929
20200808,0500,12770,12788,12770,12780,731
20200810,0945,12780,12856,12720,12856,19926
20200810,1045,12856,12905,12842,12872,15069
20200810,1145,12872,12881,12830,12840,7870
20200810,1245,12840,12872,12837,12854,5023
20200810,1345,12854,12870,12843,12855,6878
20200810,1600,12844,12853,12827,12838,1791
20200810,1700,12838,12840,12815,12837,1940
20200810,1800,12837,12845,12831,12836,685
20200810,1900,12836,12844,12834,12843,269
20200810,2000,12843,12848,12834,12842,431
20200810,2100,12842,12844,12832,12840,364
20200810,2200,12839,12852,12832,12838,1571
20200810,2300,12838,12842,12764,12770,4452
20200811,0000,12770,12805,12762,12801,2520
20200811,0100,12802,12819,12787,12815,1381
20200811,0200,12815,12833,12814,12825,1008
20200811,0300,12825,12838,12819,12837,656
20200811,0400,12836,12842,12818,12834,644
20200811,0500,12834,12835,12818,12819,415
20200811,0945,12818,12833,12781,12823,16101
20200811,1045,12823,12874,12821,12847,13524
20200811,1145,12846,12854,12823,12841,5290
20200811,1245,12842,12845,12754,12771,7426
20200811,1345,12770,12777,12727,12737,10821
20200811,1600,12707,12766,12700,12757,3231
20200811,1700,12756,12769,12751,12765,2226
20200811,1800,12764,12783,12761,12774,1412
20200811,1900,12774,12780,12765,12767,865
20200811,2000,12767,12771,12758,12762,839
20200811,2100,12762,12776,12762,12763,772
20200811,2200,12763,12769,12742,12763,3109
20200811,2300,12763,12764,12731,12759,2927
20200812,0000,12759,12772,12753,12757,1178
20200812,0100,12757,12768,12750,12764,631
20200812,0200,12765,12768,12755,12763,357
20200812,0300,12764,12767,12735,12742,893
20200812,0400,12743,12745,12670,12695,3073
20200812,0500,12696,12710,12683,12698,955
20200812,0945,12699,12701,12576,12593,30258
20200812,1045,12593,12647,12565,12643,15592
20200812,1145,12642,12651,12604,12625,6567
20200812,1245,12625,12641,12611,12639,3708
20200812,1345,12639,12661,12596,12655,9539
20200812,1600,12700,12736,12699,12725,3674
20200812,1700,12724,12735,12722,12730,1026
20200812,1800,12730,12755,12728,12745,1749
20200812,1900,12745,12760,12743,12748,731
20200812,2000,12748,12754,12745,12747,519
20200812,2100,12747,12749,12728,12744,916
20200812,2200,12744,12773,12743,12761,2423
20200812,2300,12761,12801,12757,12797,2659
20200813,0000,12797,12809,12788,12803,2172
20200813,0100,12802,12822,12799,12801,1534
20200813,0200,12801,12814,12783,12813,1079
20200813,0300,12813,12818,12804,12810,382
20200813,0400,12810,12811,12780,12798,1079
20200813,0500,12798,12807,12783,12789,658
20200813,0945,12787,12836,12739,12743,23857
20200813,1045,12743,12756,12702,12744,12868
20200813,1145,12744,12750,12714,12720,5428
20200813,1245,12720,12739,12706,12730,4400
20200813,1345,12730,12747,12712,12723,9033
20200813,1600,12733,12737,12707,12719,2092
20200813,1700,12720,12725,12658,12682,3861
20200813,1800,12682,12689,12669,12681,950
20200813,1900,12682,12695,12675,12686,816
20200813,2000,12686,12712,12686,12702,1181
20200813,2100,12701,12742,12699,12732,1881
20200813,2200,12731,12734,12696,12709,2711
20200813,2300,12709,12726,12686,12722,2313
20200814,0000,12722,12725,12700,12708,1146
20200814,0100,12708,12725,12708,12723,681
20200814,0200,12723,12731,12698,12711,869
20200814,0300,12711,12713,12678,12687,1059
20200814,0400,12687,12721,12684,12715,721
20200814,0500,12718,12719,12705,12708,316
20200814,0945,12707,12738,12646,12733,18636
20200814,1045,12734,12777,12711,12770,13017
20200814,1145,12770,12781,12736,12749,6238
20200814,1245,12748,12785,12746,12783,4537
